minute,north,south,east,west
1,113,395,0,60
2,114,173,0,0
3,104,337,60,60
4,147,293,60,60
5,181,261,60,0
6,94,224,60,60
7,160,296,60,0
8,128,336,60,60
9,78,262,60,60
10,78,245,0,60
11,163,379,60,60
12,105,339,0,60
13,127,307,60,0
14,92,278,60,60
15,121,247,0,60
